,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,AGE,CREDIT_INCOME_PERCENT
2,171000.0,1560726.0,41301.0,1395000.0,3130,1213.0,619,2,0,0,0,0.7239998516953141,0.4920600938649263,37.5,9.127052631578948
3,360000.0,1530000.0,42075.0,1530000.0,449,4597.0,2379,3,0,1,1,0.7142792864482229,0.5406544504453575,52.5,4.25
25,130500.0,1350000.0,37255.5,1350000.0,4411,6225.0,3199,3,0,0,0,0.5891866296961207,0.4668640059537032,52.5,10.344827586206897
33,540000.0,1227901.5,46899.0,1129500.0,2091,6846.0,566,1,0,0,0,0.6535972121081295,0.3392876999089139,57.5,2.273891666666666
47,202500.0,1288350.0,37800.0,1125000.0,2011,1529.0,988,3,0,0,0,0.5720641471414096,0.191821602413606,47.5,6.362222222222222
68,202500.0,1136439.0,73611.0,1089000.0,968,14666.0,4456,1,0,0,0,0.7112888072636568,0.5971924268337128,62.5,5.612044444444445
85,225000.0,1515415.5,41800.5,1354500.0,4027,7154.0,1969,2,0,0,0,0.5712502464772474,0.7898803468924867,42.5,6.73518
93,202500.0,1251072.0,45067.5,1080000.0,266,164.0,4568,2,0,0,0,0.7636485619996934,0.3296550543128238,42.5,6.178133333333333
98,315000.0,1288350.0,37800.0,1125000.0,4940,9520.0,5239,2,0,1,1,0.5098519541101603,0.6754132910917112,42.5,4.09
100,225000.0,1325475.0,56290.5,1125000.0,5785,5368.0,3602,2,0,1,1,0.7024628947445616,0.5460231970049609,42.5,5.891
131,144000.0,1288350.0,37800.0,1125000.0,281,640.0,3215,2,1,1,0,0.5470362331184999,0.2176285202779586,37.5,8.946875
133,225000.0,1483231.5,51687.0,1354500.0,1699,6040.0,3723,2,0,0,0,0.7573276838423868,0.1309471529360181,57.5,6.59214
152,308250.0,1305000.0,38281.5,1305000.0,1106,8060.0,4018,2,0,0,0,0.6984528683753916,0.8004513396487078,42.5,4.233576642335766
159,202500.0,1271281.5,65956.5,1201500.0,2993,3842.0,4142,2,0,0,0,0.495546481404605,0.6127042441012546,37.5,6.277933333333333
175,171000.0,1270746.0,42124.5,1138500.0,8215,2463.0,2451,2,0,0,0,0.6923108327651505,0.7352209993926424,42.5,7.431263157894737
