,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,AGE,CREDIT_INCOME_PERCENT
34,180000.0,1663987.5,86989.5,1588500.0,2446,6755.0,2177,2,0,0,0,0.5706663563799912,0.6971469077844458,57.5,9.244375
84,180000.0,1755000.0,61132.5,1755000.0,1549,3174.0,4584,2,0,0,0,0.147684817245518,0.6690566947824041,42.5,9.75
145,315000.0,1575000.0,41548.5,1575000.0,3339,3522.0,5525,2,1,1,0,0.6904584635520693,0.520897599048938,37.5,5.0
189,270000.0,1800000.0,62698.5,1800000.0,499,5508.0,649,2,0,0,0,0.4339187290167497,0.7862666146611379,47.5,6.666666666666667
205,247500.0,1971072.0,68643.0,1800000.0,365,3183.0,4423,2,0,0,0,0.748204082783147,0.7394117535524816,37.5,7.963927272727273
209,405000.0,2250000.0,59485.5,2250000.0,6158,954.0,4979,2,0,0,0,0.6823200671179018,0.6925590674998008,42.5,5.555555555555555
265,450000.0,1971072.0,62019.0,1800000.0,2569,4292.0,1699,1,0,0,0,0.7743680895683124,0.3441550073724169,52.5,4.38016
319,225000.0,1800000.0,49500.0,1800000.0,1988,3305.0,941,1,0,1,1,0.6737371194166208,0.5352762504724826,47.5,8.0
369,540000.0,1575000.0,43443.0,1575000.0,1247,4063.0,758,1,0,0,0,0.7886245921808366,0.6363761710860439,42.5,2.9166666666666665
380,315000.0,1971072.0,62019.0,1800000.0,1744,3240.0,496,1,0,0,0,0.7835429391645801,0.6279908192952864,47.5,6.257371428571428
401,288000.0,1971072.0,68643.0,1800000.0,5171,1166.0,518,3,0,0,0,0.4191676523385577,0.4135967602644276,47.5,6.844
459,306000.0,2085120.0,72477.0,1800000.0,5632,185.0,4669,2,0,0,0,0.6361623696784523,0.3409064264152384,37.5,6.814117647058824
748,315000.0,1575000.0,64998.0,1575000.0,2341,5677.0,719,1,0,1,1,0.7533106081237968,0.4135967602644276,37.5,5.0
814,364500.0,1963494.0,53995.5,1755000.0,897,2568.0,3307,2,1,1,0,0.6853081728220102,0.7583930617144343,37.5,5.386814814814815
882,360000.0,2250000.0,116505.0,2250000.0,1563,4890.0,2890,3,0,0,0,0.6323324396601085,0.6754132910917112,37.5,6.25
